ogrn,inn,actives_x,revenue_x,short_term_debt_x,long_term_debt_x,name,okveds,ustavnoi_capital,location,egrul_registration_date,respondent,plaintiffs,third,participated,is_tenderous,region_id,email,phone
1127847550566,7811533500,26011.0,43153.0,27021.0,70.0,ООО,"['25.9', '25.99.21', '46.15.2', '46.90', '47.52.73', '52.10', '52.29', '82.99']",15000,ГОРОД САНКТ-ПЕТЕРБУРГ,12.10.2012,10,1,2,0,0,78,0,0
1131650003561,1650259228,14588.0,13067.0,0.0,0.0,ООО,"['25.9', '25.62', '29.3', '45.3', '46.1', '46.18', '46.19', '46.9']",10000,"РЕСПУБЛИКА ТАТАРСТАН,
Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ",25.02.2013,0,2,0,0,0,16,leandra05@mail.ru,+7 (960) 067-02-22
1131650008940,1650264267,7319.0,7470.0,0.0,0.0,ООО,"['25.9', '24.42', '25.61', '32.99.9', '43.99', '46.73.5', '46.73.6', '47.52.73', '47.99', '73.11', '82.99']",10000,"РЕСПУБЛИКА ТАТАРСТАН,
Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ",24.05.2013,0,0,0,0,0,16,0,0
1131832001806,1832106240,83.0,0.0,0.0,0.0,ООО,"['25.9', '25.1', '25.5', '25.61', '25.62', '41.2', '43.3', '46.1', '46.4', '46.7', '46.9', '47.5']",10000,"УДМУРТСКАЯ РЕСПУБЛИКА,
Г. ИЖЕВСК",20.03.2013,0,0,0,0,0,18,0,0
1132901006424,2901238436,11836.0,23554.0,2225.0,2430.0,ООО,"['25.9', '25.1', '25.11', '25.12', '25.50.1', '25.61', '25.62', '25.72', '25.73', '25.92', '25.93', '25.93.1', '25.94', '25.99', '25.99.2', '33.12', '43.2', '43.21', '43.29', '43.99.2', '43.99.5', '43.99.7', '46.62.2', '46.63', '46.69.9', '46.71', '46.71.1', '46.72.2', '46.72.21', '46.9']",10000,"АРХАНГЕЛЬСКАЯ ОБЛАСТЬ,
Г. АРХАНГЕЛЬСК",07.06.2013,0,0,0,0,0,29,0,0
1134028001128,4028054028,267.0,0.0,0.0,0.0,ООО,"['25.9', '02.20', '25.1', '25.2', '25.5', '25.61', '25.62', '41.2', '43.12', '43.2', '43.3', '43.99', '47.5', '47.9', '52.29', '68.32.1', '68.32.2', '71.11.1', '73.1', '77.3']",10000,"КАЛУЖСКАЯ ОБЛАСТЬ,
Г. КАЛУГА",26.04.2013,0,0,0,0,0,40,0,+7 (484) 251-86-65
1134028001580,4028054483,37502.0,0.0,35672.0,140.0,ООО,"['25.9', '24.10.14', '24.10.9', '24.3', '25.11', '25.12', '25.29', '25.50', '25.61', '25.62', '25.91', '25.92', '25.99', '25.99.1', '25.99.2', '31.0', '46.12', '46.13', '46.15', '46.19', '46.47', '46.72', '46.73', '46.74', '46.90', '47.19', '47.52', '47.59', '71.1', '71.12.5', '71.12.6', '82.99']",25000,"КАЛУЖСКАЯ ОБЛАСТЬ,
Г. КАЛУГА
Страница",27.06.2013,0,2,0,0,0,40,accountant.kaluga@cifem-vostok.ru,+7 (962) 178-88-82
1135018003625,5018156784,3901.0,0.0,3285.0,0.0,0,0,0,0,0,0,0,0,0,0,50,0,+7 (925) 506-62-00
1135043002918,5043049176,8789.0,13946.0,0.0,0.0,ООО,"['25.9', '25.61', '25.62', '28.49.4', '31.0', '45.4']",100000,"МОСКОВСКАЯ ОБЛАСТЬ,
Г. СЕРПУХОВ",24.06.2013,0,0,0,0,0,50,buh@megabuh.ru,+7 (916) 998-17-74
1135252000344,5252032218,13525.0,46110.0,0.0,0.0,ООО,"['25.9', '31.09']",10000,"НИЖЕГОРОДСКАЯ ОБЛАСТЬ,
Р-Н ПАВЛОВСКИЙ,
Г. ПАВЛОВО",25.01.2013,0,0,0,0,0,52,si-nn@yandex.ru,+7 (951) 914-90-57
1135260004494,5260354353,11083.0,36496.0,0.0,0.0,ООО,"['25.9', '16.10', '16.10.9', '16.23', '16.29', '25.1', '46.1', '46.13', '46.73', '46.9']",10000,"НИЖЕГОРОДСКАЯ ОБЛАСТЬ,
Г. НИЖНИЙ НОВГОРОД",03.04.2013,0,0,1,0,0,52,zkizki@yandex.ru,+7 (831) 625-11-51
1135476002188,5402558482,6263.0,8320.0,0.0,0.0,ООО,"['25.9', '14.13', '14.19', '25.1', '25.61', '46.7', '95.29']",10000,"НОВОСИБИРСКАЯ ОБЛАСТЬ,
Г. НОВОСИБИРСК",11.01.2013,0,0,0,0,0,54,0,0
1135543011295,5505216931,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,55,mk200313@rambler.ru,+7 (913) 967-93-32
1135906002627,5906120225,16139.0,60565.0,0.0,0.0,ООО,"['25.9', '25.61', '28.2', '28.30.3', '28.30.5', '28.49.4', '28.9', '28.99.9', '33.11', '33.12', '33.20', '41.2', '41.20', '42.22', '42.91', '42.91.2', '42.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.61.1', '46.61.2', '46.90', '52.29', '82.99']",10000,"Пермский Край,
Г. Пермь",22.04.2013,4,3,0,0,0,59,grad_m@lenta.ru,+7 (902) 474-47-76
1136181001945,6141044107,7281.0,28822.0,0.0,0.0,ООО,"['25.9', '25.1', '41.2', '43.99', '43.99.5', '46.73.6', '46.9', '77.11', '77.3']",10000,"РОСТОВСКАЯ ОБЛАСТЬ,
Г. БАТАЙСК",05.06.2013,0,1,0,0,0,61,shishko1986@mail.ru,+7 (928) 168-11-88
1136658004218,6658427064,3085.0,6489.0,2726.0,0.0,ООО,"['25.9', '13.95', '25.1', '25.5', '25.61', '25.62', '33.12', '45.2', '46.4', '46.69', '46.73', '46.90']",10000,"СВЕРДЛОВСКАЯ ОБЛАСТЬ,
Г. ЕКАТЕРИНБУРГ",13.02.2013,3,2,0,0,0,66,0,0
1136677000096,6677002821,1272.0,1622.0,0.0,0.0,ООО,"['25.9', '10.8', '25.1', '27.1', '27.9', '28.3', '46.4', '46.6', '46.7', '46.9', '47.1', '47.5', '47.9', '56.1', '56.29', '56.3', '74.20', '74.30', '82.92', '93.2', '95.2']",10000,"СВЕРДЛОВСКАЯ ОБЛАСТЬ,
Р-Н АРТЕМОВСКИЙ,
П КРАСНОГВАРДЕЙСКИЙ",25.01.2013,0,2,0,0,0,66,elena.yakhno@yandex.ru,+7 (902) 273-61-07
1136829000660,6829088632,10.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,68,0,+7 (980) 672-59-49
1137746535882,7720785355,29599.0,54224.0,0.0,0.0,ООО,"['25.9', '25.50.1', '25.62', '25.99', '45.20.2', '45.3', '45.31.1', '45.31.2', '45.32', '46.1', '46.90', '47.5', '47.7', '47.8', '47.9', '47.91.2', '47.91.3', '47.91.4', '49.4', '49.41.2', '49.41.3', '52.10', '52.29', '56.10', '56.10.1', '56.10.3']",10000,ГОРОД МОСКВА,24.06.2013,0,1,0,0,0,77,0,0
1027000885537,7021044139,5606.0,3491.0,0.0,0.0,ООО,"['25.9', '16.1', '16.10.9', '68.20']",10000,"ТОМСКАЯ ОБЛАСТЬ,
Г. ТОМСК",19.11.2002,2,1,0,0,0,70,pzs@preventiva.ru,+7 (382) 221-44-85
1027300536295,7302015408,85476.0,86819.0,3782.0,20112.0,ООО,"['25.9', '25.93.1', '25.94', '46.1', '46.3', '47.1']",1500000,"УЛЬЯНОВСКАЯ ОБЛАСТЬ,
Г. ДИМИТРОВГРАД",05.11.2002,6,8,0,0,0,73,atlzybyf@rambler.ru,+7 (902) 582-23-33
1027739376697,7730115399,4888.0,6470.0,2070.0,0.0,ООО,"['25.9', '25.61', '43.39', '46.49', '46.73.6', '47.52.7', '47.52.73', '47.78', '47.9', '47.91.2', '47.91.3', '47.91.4', '47.99', '63.11.1', '73.11', '73.20.1']",10000,ГОРОД МОСКВА,14.10.2002,0,0,0,0,0,77,0,+7 (495) 443-15-63
1027802511648,7804007520,2112.0,9996.0,0.0,0.0,"ООО""КОНТИНЕНТ""
4
ГРН",['25.9'],0,ГОРОД САНКТ-ПЕТЕРБУРГ,16.12.2002,0,0,0,0,0,78,a3779193@yandex.ru,+7 (812) 542-68-84
1027808757382,7817032884,7259.0,17980.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,78,valushka-55@yandex.ru,+7 (812) 460-90-59
1031605000910,1639020436,10.0,400.0,0.0,0.0,ООО,"['25.9', '25.73', '28.49.4']",0,"РЕСПУБЛИКА ТАТАРСТАН,
Р-Н ЧИСТОПОЛЬСКИЙ,
Г. ЧИСТОПОЛЬ",14.01.2003,0,0,0,0,0,16,metanit@yandex.ru,+7 (843) 424-55-98
1035754000446,5754002351,4144.0,25563.0,0.0,0.0,ООО,"['25.9', '16.23.1', '25.11', '25.12', '46.73.1', '46.73.2', '47.52.71', '52.29']",20000,"ОРЛОВСКАЯ ОБЛАСТЬ,
Г. ОРЁЛ",04.03.2003,2,2,0,0,0,57,0,+7 (486) 247-50-05
1036154017569,6154088849,17396.0,10144.0,0.0,0.0,ООО,"['25.9', '47.78.9', '72.19']",150000,"РОСТОВСКАЯ ОБЛАСТЬ,
Г. ТАГАНРОГ",03.09.2003,0,0,0,0,0,61,marina0802work@mail.ru,+7 (863) 464-33-63
1037811015472,7805105305,19661.0,8526.0,862.0,0.0,ЗАО,['25.9'],0,ГОРОД САНКТ-ПЕТЕРБУРГ,27.01.2003,0,1,0,0,0,78,tata010352@mail.ru,+7 (812) 186-97-66
1037839005709,7817044784,66326.0,18281.0,0.0,0.0,ООО,"['25.9', '24.20', '24.33', '24.51', '25.1', '25.2', '25.50.1', '25.61', '25.62', '25.93', '25.94', '46.90']",11300,ГОРОД САНКТ-ПЕТЕРБУРГ,28.08.2003,1,2,0,0,0,78,valushka-55@yandex.ru,+7 (812) 460-90-59
1042700137853,2721114103,13.0,0.0,21.0,0.0,ООО,"['25.9', '24.33', '43.11', '43.12.1', '43.12.3', '45.2', '47.73', '47.74', '47.75', '95.2']",10000,"ХАБАРОВСКИЙ КРАЙ,
Г. ХАБАРОВСК",05.2004,0,0,0,0,0,27,sea0863@mail.ru,+7 (421) 257-79-80
